Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2022,13,2022-03-28,2022-04-03,1,20,20,40,1,20,20,40,2,32,12
2022,14,2022-04-04,2022-04-10,1,7,7,21,2,26,26,61,2,26,14
2022,15,2022-04-11,2022-04-17,0,0,0,0,2,26,26,61,2,26,14
2022,16,2022-04-18,2022-04-24,0,0,0,0,2,26,26,61,2,26,14
2022,17,2022-04-25,2022-05-01,0,0,0,0,2,26,26,61,2,26,14
2022,18,2022-05-02,2022-05-08,0,0,0,0,2,26,26,61,2,26,14
2022,19,2022-05-09,2022-05-15,0,0,0,0,2,26,26,61,2,26,14
2022,20,2022-05-16,2022-05-22,0,0,0,0,2,26,26,61,2,26,14
2022,21,2022-05-23,2022-05-29,0,0,0,0,2,26,26,61,2,26,14
2022,22,2022-05-30,2022-06-05,0,0,0,0,2,26,26,61,2,26,14
2022,23,2022-06-06,2022-06-12,0,0,0,0,2,26,26,61,2,26,14
2022,24,2022-06-13,2022-06-19,2,21,21,58,4,38,38,119,1,13,38
2022,25,2022-06-20,2022-06-26,0,0,0,0,4,38,38,119,1,13,38
2022,26,2022-06-27,2022-07-03,0,0,0,0,4,38,38,119,1,13,38
2022,27,2022-07-04,2022-07-10,1,24,24,70,5,46,46,189,1,5,46
2022,28,2022-07-11,2022-07-17,0,0,0,0,5,46,46,189,1,5,46
2022,29,2022-07-18,2022-07-24,0,0,0,0,5,46,46,189,1,5,46
2022,30,2022-07-25,2022-07-31,0,0,0,0,5,46,46,189,1,5,46
2022,31,2022-08-01,2022-08-07,0,0,0,0,5,46,46,189,1,5,46
2022,32,2022-08-08,2022-08-14,2,19,19,60,7,50,50,249,1,1,50
2022,33,2022-08-15,2022-08-21,0,0,0,0,7,50,50,249,1,1,50
2022,34,2022-08-22,2022-08-28,0,0,0,0,7,50,50,249,1,1,50
2022,35,2022-08-29,2022-09-04,1,12,12,31,8,50,50,280,1,1,50
